title,poster_url,trailer_url
Человек-паук: Нет пути домой,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/8/5/8356586/acb59318c76683bf3dcb8b7d5e86c7c6.jpg,https://www.kinoafisha.info/trailers/e3691d84fea90447495e307b453b052c/
Леон,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/4/4/3443444/2ba9a4cafa401fdfb30e4746d28a4e64.jpeg,https://www.kinoafisha.info/trailers/7abf449b0c6e6f51604eac22d23a103e/
Назад в будущее,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/7/8/7/5412787/bcbba0020478ce87312898de5c93bde3.jpg,https://www.kinoafisha.info/trailers/e936fd92e1e36fc5a07d1edd7691ef31/
"Ну, погоди!",https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/8/0/7943086/598abbc1c936cc802a06fb656f960bae.jpg,
Стражи Галактики. Часть 3,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/9/2/1/8354129/774549399123.jpg,https://www.kinoafisha.info/trailers/1bb73024ef79d3c9f12c16fe36a82098/
Молчание ягнят,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/0/8/3906804/92ec465a68dfd9ac388cf7c1c7339e57.jpeg,https://www.kinoafisha.info/trailers/626bd0308472e6e2821f261f43689231/
Головоломка 2,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/2/7/8367726/707278473808.jpg,https://www.kinoafisha.info/trailers/2bb0f83a8ac649e0d78f18482efc8a51/
Крестный отец 2,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/6/9/4158964/67b1833e377f848d8618aa81d346d121.jpeg,https://www.kinoafisha.info/trailers/c96db8960d11b16478bf2049344aedf0/
Гладиатор,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/7/8/6/3577687/269f24bc732e228d8b673519ac7d177c.jpeg,https://www.kinoafisha.info/trailers/c9ddef4ab61f2448aa63e5770ccccbf9/
Астроскоп. Смотрим на звезды,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/8/0/8373086/623222426018.jpg,https://www.kinoafisha.info/trailers/c43be45096af11056672ee4b067286e7/
